,index,NewName_x,playerId,positionText_x,teamName_x,League_x
334,7222,D. Schwaab,30993,Defender,PSV Eindhoven,Holland Eredivisie
335,7227,D. Warmerdam,229520,Defender,FC Groningen,Holland Eredivisie
336,7227,D. Warmerdam,229520,Defender,FC Groningen,Holland Eredivisie
337,7227,D. Warmerdam,229520,Defender,FC Groningen,Holland Eredivisie
338,7227,D. Warmerdam,229520,Defender,FC Groningen,Holland Eredivisie
339,7235,C. Kum,34246,Defender,VVV-Venlo,Holland Eredivisie
340,7244,M. te Wierik,91123,Defender,FC Groningen,Holland Eredivisie
341,7244,M. te Wierik,91123,Defender,FC Groningen,Holland Eredivisie
342,7244,M. te Wierik,91123,Defender,FC Groningen,Holland Eredivisie
343,7244,M. te Wierik,91123,Defender,FC Groningen,Holland Eredivisie
344,7249,A. Meijers,31238,Defender,ADO Den Haag,Holland Eredivisie
345,7249,A. Meijers,31238,Defender,ADO Den Haag,Holland Eredivisie
346,7249,A. Meijers,31238,Defender,ADO Den Haag,Holland Eredivisie
347,7249,A. Meijers,31238,Defender,ADO Den Haag,Holland Eredivisie
348,7251,S. Floranus,322157,Defender,SC Heerenveen,Holland Eredivisie
349,7256,L. Woudenberg,136066,Defender,SC Heerenveen,Holland Eredivisie
350,7259,T. Breukers,35160,Defender,Heracles,Holland Eredivisie
351,7259,T. Breukers,35160,Defender,Heracles,Holland Eredivisie
352,7259,T. Breukers,35160,Defender,Heracles,Holland Eredivisie
353,7259,T. Breukers,35160,Defender,Heracles,Holland Eredivisie
354,7262,M. van der Maarel,39726,Defender,FC Utrecht,Holland Eredivisie
355,7262,M. van der Maarel,39726,Defender,FC Utrecht,Holland Eredivisie
356,7262,M. van der Maarel,39726,Defender,FC Utrecht,Holland Eredivisie
357,7262,M. van der Maarel,39726,Defender,FC Utrecht,Holland Eredivisie
358,7262,M. van der Maarel,39726,Defender,FC Utrecht,Holland Eredivisie
359,7262,M. van der Maarel,39726,Defender,FC Utrecht,Holland Eredivisie
360,7262,M. van der Maarel,39726,Defender,FC Utrecht,Holland Eredivisie
361,7262,M. van der Maarel,39726,Defender,FC Utrecht,Holland Eredivisie
362,7269,T. Beugelsdijk,90636,Defender,ADO Den Haag,Holland Eredivisie
363,7269,T. Beugelsdijk,90636,Defender,ADO Den Haag,Holland Eredivisie
364,7269,T. Beugelsdijk,90636,Defender,ADO Den Haag,Holland Eredivisie
365,7269,T. Beugelsdijk,90636,Defender,ADO Den Haag,Holland Eredivisie
366,7279,R. Janssen,281508,Defender,VVV-Venlo,Holland Eredivisie
367,7305,N. Röseler,96638,Defender,VVV-Venlo,Holland Eredivisie
368,7330,D. Lachman,69584,Defender,PEC Zwolle,Holland Eredivisie
369,7331,T. Lam,104906,Defender,PEC Zwolle,Holland Eredivisie
370,8148,G. Clichy,6042,Defender,Istanbul Basaksehir,Turkish S�per Lig
371,8160,Welinton,127681,Defender,Alanyaspor,Turkish S�per Lig
372,8164,M. Skrtel,19840,Defender,Istanbul Basaksehir,Turkish S�per Lig
373,8166,C. Erkin,32010,Defender,Besiktas,Turkish S�per Lig
374,8173,G. Gönül,31468,Defender,Besiktas,Turkish S�per Lig
375,8175,F. N'Sakala,44671,Defender,Alanyaspor,Turkish S�per Lig
